dummy_x_translation_joint,dummy_y_translation_joint,dummy_z_translation_joint,dummy_x_rotation_joint,dummy_y_rotation_joint,dummy_z_rotation_joint,WRJ2,WRJ1,FFJ4,FFJ3,FFJ2,FFJ1,LFJ5,LFJ4,LFJ3,LFJ2,LFJ1,MFJ4,MFJ3,MFJ2,MFJ1,RFJ4,RFJ3,RFJ2,RFJ1,THJ5,THJ4,THJ3,THJ2,THJ1
0.35026163,0.7580952,-0.21304494,0.15004437,0.2176717,-0.2857094,-0.5245988,-0.03040941,0.18338227,0.5976132,0.7209916,0.7637283,0.583727,0.19094929,0.7756808,0.9221287,0.8667785,-0.0045581684,0.79486835,0.8499434,0.81530017,0.14450835,0.85123825,0.8697084,0.8251708,0.2083485,0.8294831,0.103523485,0.10552054,0.66213197
0.39791915,0.8499673,-0.13348499,0.53004456,0.16831598,-0.6059694,-0.5245988,-0.018392641,0.28133887,0.6412071,0.645953,0.72320485,0.3403229,0.29251546,0.76014435,1.0507891,0.9740388,-0.0020393932,0.8751159,0.8163154,0.7904114,0.20561172,0.9638967,0.8544508,0.8129542,0.29287705,0.8297736,0.14793213,0.05489247,0.59931886
0.4586926,0.87397,-0.07359958,0.74971336,0.08300143,-0.8351556,-0.5245988,-0.045716055,0.28661868,0.6381735,0.5861961,0.6894881,0.14476545,0.33169675,0.749431,1.1103435,1.0339466,0.0041309223,0.89768183,0.7651291,0.7595812,0.23587087,1.0135983,0.8243553,0.79697275,0.3211687,0.8038523,0.18382746,0.025495287,0.57183784
0.467375,0.84499013,-0.06736025,0.7538955,0.085046455,-0.8353422,-0.52297217,-0.045387205,0.2861909,0.6377833,0.5856647,0.6891944,0.14387172,0.3317973,0.7491013,1.1102716,1.0340501,0.004179686,0.8973094,0.76450866,0.7592322,0.23594989,1.0132825,0.8239065,0.79675084,0.3210379,0.80372196,0.18400948,0.025273604,0.57170606
0.47613406,0.8115839,-0.0666418,0.7601043,0.08741427,-0.83523464,-0.5227211,-0.044544358,0.2858844,0.6374837,0.5852623,0.68897325,0.14334898,0.3318321,0.74882674,1.1101621,1.0340828,0.0042180927,0.89689374,0.7640177,0.75897074,0.235991,1.0128921,0.823519,0.7965616,0.320838,0.80385214,0.18420433,0.025064591,0.5715874
0.48527706,0.77805865,-0.06580942,0.7661113,0.08987492,-0.83517104,-0.5223764,-0.043817364,0.28551778,0.637017,0.58474016,0.68869895,0.14291327,0.331882,0.748585,1.1100327,1.0341023,0.004280777,0.89629525,0.7634472,0.7586856,0.23604515,1.0123918,0.8230394,0.7963305,0.32046264,0.80408305,0.18447703,0.024751633,0.5714355
0.49379727,0.7463966,-0.0666286,0.7719424,0.09238889,-0.83548605,-0.52208966,-0.043232895,0.28507158,0.6364873,0.5841747,0.68840843,0.14233728,0.3319497,0.7482989,1.1099145,1.0341461,0.0043395804,0.89561373,0.76285946,0.7584065,0.23612002,1.0118432,0.8225327,0.7960931,0.3198363,0.8045819,0.18488243,0.02430102,0.5712292
0.5094936,0.7253218,-0.058491074,0.81867343,0.095084496,-0.8954437,-0.5229958,-0.038662005,0.19353808,0.5529758,0.4821801,0.63424414,0.11221834,0.35006586,0.76794153,1.1123922,1.0444711,0.035432823,0.7653276,0.6356651,0.69337416,0.24729818,0.93858135,0.7412488,0.7576583,0.22294745,0.82803553,0.2065948,-0.04300617,0.5539757
0.5079367,0.7071078,-0.047073476,0.8622734,0.12646426,-0.9252018,-0.5245988,-0.0032051608,0.09045986,0.5109491,0.40476605,0.59180295,0.08944679,0.35006586,0.75266236,1.0850194,1.0428011,0.07752859,0.69069886,0.5259244,0.6310395,0.25257006,0.87418544,0.66877306,0.7233819,0.20927003,0.8472843,0.2104395,-0.05575508,0.56019074
0.51764566,0.6789363,-0.048934124,0.867344,0.12943916,-0.9244744,-0.522837,-0.001978502,0.08997114,0.5108053,0.4044303,0.59161115,0.08945042,0.349142,0.7523031,1.0846885,1.0427073,0.07762371,0.69039845,0.52544624,0.6307602,0.25255385,0.87382597,0.668394,0.723187,0.20938286,0.8474735,0.20971055,-0.055731136,0.56021774
0.5133083,0.6657862,-0.03986762,0.9064346,0.16077283,-0.93469113,-0.5215503,0.039493587,0.011846069,0.46370426,0.3307973,0.5523213,0.07751734,0.35006586,0.7005812,1.0290273,1.0307603,0.11603773,0.6311798,0.43153912,0.57667726,0.24586649,0.82682204,0.6032507,0.6912987,0.19018655,0.8719642,0.2104395,-0.0700072,0.5665846
0.5214992,0.64581704,-0.045034587,0.9111219,0.16407238,-0.93452847,-0.52066815,0.041040413,0.010640057,0.46320012,0.3297737,0.5517716,0.07720734,0.34942815,0.69967264,1.0280443,1.0305175,0.1162408,0.63032275,0.4301803,0.57589304,0.24558869,0.8258923,0.60219777,0.69078505,0.18995474,0.8727926,0.2103345,-0.07017824,0.56667066
0.5293575,0.6314545,-0.047718484,0.9142639,0.16772869,-0.9342805,-0.5192706,0.042622298,0.00923871,0.46323735,0.32900953,0.5513375,0.07641276,0.3493489,0.69875175,1.0271698,1.0303403,0.11644393,0.6294068,0.42881688,0.57511467,0.2452273,0.8248269,0.601085,0.6902544,0.189277,0.8732279,0.21027492,-0.07062287,0.56664884
0.52283037,0.6216389,-0.03903333,0.95023674,0.20717564,-0.9523338,-0.5085839,0.08402675,-0.072069146,0.4605975,0.27976513,0.52399534,0.047936015,0.35006586,0.6664131,0.97838056,1.0196053,0.14064409,0.5555377,0.3391823,0.5258205,0.21451104,0.76341945,0.5334128,0.6590655,0.14099915,0.8717868,0.2104395,-0.10200888,0.56474453
0.52926564,0.6113418,-0.041251156,0.9520621,0.20938385,-0.95207447,-0.50771224,0.08462216,-0.07227838,0.46068278,0.27968553,0.52394384,0.047672212,0.34908497,0.6661544,0.9782247,1.0195807,0.14051656,0.555505,0.33903414,0.5257296,0.21447685,0.7632103,0.533222,0.65897,0.1410063,0.8719801,0.20959294,-0.10200316,0.5647571
0.50877666,0.60038966,-0.03961611,0.97047234,0.28965887,-1.0240238,-0.45779625,0.12463359,-0.124286264,0.46075225,0.22621177,0.49488428,-0.001,0.35006586,0.5877804,0.9139711,1.0122923,0.121510364,0.5371655,0.26939863,0.48582447,0.17645413,0.6952992,0.45974603,0.6257526,0.115490556,0.89321566,0.2104395,-0.11141967,0.5739766
0.5144656,0.5952161,-0.04294305,0.97211844,0.29166391,-1.0235919,-0.45714965,0.12536007,-0.1244461,0.46084815,0.22616082,0.49485195,-7.916524e-05,0.3490823,0.5876856,0.91382974,1.0122468,0.12134085,0.53720635,0.26931724,0.48577002,0.17640515,0.69516003,0.45960474,0.62568194,0.115590364,0.8932928,0.20955065,-0.1113587,0.5740196
0.5204456,0.58977735,-0.046949938,0.97397894,0.2940748,-1.0230967,-0.4562425,0.12628846,-0.12467569,0.46108726,0.226169,0.49484727,-9.267228e-05,0.34905654,0.58756334,0.91369265,1.0122036,0.12109903,0.5372561,0.26924187,0.4857169,0.17634667,0.6949843,0.45946246,0.6256108,0.11572811,0.89345926,0.20958826,-0.11127604,0.5740752
